CANAL;NR_IDENTIFICACAO;CLASSIFICACAO_CANAL;TIPO_CONTEUDO_CANAL;OFERTA_CLIENTE;DATA_INICIO_OFERTA;DENSIDADE_CANAL;NOME_PROGRAMADORA;CNPJ_PROGRAMADORA;CLASSIFICACAO_PROGRAMADORA;PAIS_PROGRAMADORA
GLOOB;4727.30005;Canal de espaço qualificado;Canal de conteúdo infantil e adolescente;CANAL OFERTADO EM PACOTE;01/01/2020;PADRÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;Programadora brasileira independente;BRASIL
GLOOB (EM HD);4727.30018;Canal de espaço qualificado;Canal de conteúdo infantil e adolescente;CANAL OFERTADO EM PACOTE;01/01/2020;ALTA DEFINIÇÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;Programadora brasileira independente;BRASIL
GLOOBINHO;4727.30095;Canal de espaço qualificado;Canal de conteúdo infantil e adolescente;CANAL OFERTADO EM PACOTE;01/01/2020;ALTA DEFINIÇÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;Programadora brasileira independente;BRASIL
GNT;4727.30006;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;01/01/2020;PADRÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;Programadora brasileira independente;BRASIL
GNT HD;4727.30014;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;01/01/2020;ALTA DEFINIÇÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;Programadora brasileira independente;BRASIL
H2;22399.30003;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;01/10/2014;PADRÃO;HISTORY CHANNEL BRAZIL DISTRIBUTION, LLC;;PROGRAMADORA ESTRANGEIRA;ESTADOS UNIDOS
H2 HD;22399.30004;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;01/10/2014;ALTA DEFINIÇÃO;HISTORY CHANNEL BRAZIL DISTRIBUTION, LLC;;PROGRAMADORA ESTRANGEIRA;ESTADOS UNIDOS
HBO;6261.30003;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE, CANAL À LA CARTE;01/01/2024;PADRÃO;BRASIL DISTRIBUTION, L.L.C.;05.517.603/0001-89;PROGRAMADORA ESTRANGEIRA;ESTADOS UNIDOS
HBO (EM HD);6261.30004;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE, CANAL À LA CARTE;01/01/2024;ALTA DEFINIÇÃO;BRASIL DISTRIBUTION, L.L.C.;05.517.603/0001-89;PROGRAMADORA ESTRANGEIRA;ESTADOS UNIDOS
HBO 2;6261.30019;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE, CANAL À LA CARTE;01/01/2024;PADRÃO;BRASIL DISTRIBUTION, L.L.C.;05.517.603/0001-89;PROGRAMADORA ESTRANGEIRA;ESTADOS UNIDOS
HBO 2 (EM HD);6261.30020;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE, CANAL À LA CARTE;01/01/2024;ALTA DEFINIÇÃO;BRASIL DISTRIBUTION, L.L.C.;05.517.603/0001-89;PROGRAMADORA ESTRANGEIRA;ESTADOS UNIDOS
HBO FAMILY;6261.30005;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE, CANAL À LA CARTE;01/01/2024;PADRÃO;BRASIL DISTRIBUTION, L.L.C.;05.517.603/0001-89;PROGRAMADORA ESTRANGEIRA;ESTADOS UNIDOS
HBO FAMILY (EM HD);6261.30006;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE, CANAL À LA CARTE;01/01/2024;ALTA DEFINIÇÃO;BRASIL DISTRIBUTION, L.L.C.;05.517.603/0001-89;PROGRAMADORA ESTRANGEIRA;ESTADOS UNIDOS
HBO MUNDI;6261.30008;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE, CANAL À LA CARTE;01/01/2024;PADRÃO;BRASIL DISTRIBUTION, L.L.C.;05.517.603/0001-89;PROGRAMADORA ESTRANGEIRA;ESTADOS UNIDOS
HBO MUNDI HD;6261.30009;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE, CANAL À LA CARTE;01/01/2024;ALTA DEFINIÇÃO;BRASIL DISTRIBUTION, L.L.C.;05.517.603/0001-89;PROGRAMADORA ESTRANGEIRA;ESTADOS UNIDOS
HBO PLUS;6261.30010;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE, CANAL À LA CARTE;01/01/2024;PADRÃO;BRASIL DISTRIBUTION, L.L.C.;05.517.603/0001-89;PROGRAMADORA ESTRANGEIRA;ESTADOS UNIDOS
HBO PLUS (EM HD);6261.30011;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE, CANAL À LA CARTE;01/01/2024;ALTA DEFINIÇÃO;BRASIL DISTRIBUTION, L.L.C.;05.517.603/0001-89;PROGRAMADORA ESTRANGEIRA;ESTADOS UNIDOS
HBO POP;6261.30013;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE, CANAL À LA CARTE;01/01/2024;PADRÃO;BRASIL DISTRIBUTION, L.L.C.;05.517.603/0001-89;PROGRAMADORA ESTRANGEIRA;ESTADOS UNIDOS
HBO POP HD;6261.30014;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE, CANAL À LA CARTE;01/01/2024;ALTA DEFINIÇÃO;BRASIL DISTRIBUTION, L.L.C.;05.517.603/0001-89;PROGRAMADORA ESTRANGEIRA;ESTADOS UNIDOS
HBO SIGNATURE;6261.30015;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE, CANAL À LA CARTE;01/01/2024;PADRÃO;BRASIL DISTRIBUTION, L.L.C.;05.517.603/0001-89;PROGRAMADORA ESTRANGEIRA;ESTADOS UNIDOS
HBO SIGNATURE (EM HD);6261.30016;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE, CANAL À LA CARTE;01/01/2024;ALTA DEFINIÇÃO;BRASIL DISTRIBUTION, L.L.C.;05.517.603/0001-89;PROGRAMADORA ESTRANGEIRA;ESTADOS UNIDOS
HBO XTREME;6261.30017;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE, CANAL À LA CARTE;01/01/2024;PADRÃO;BRASIL DISTRIBUTION, L.L.C.;05.517.603/0001-89;PROGRAMADORA ESTRANGEIRA;ESTADOS UNIDOS
HBO XTREME HD;6261.30018;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE, CANAL À LA CARTE;01/01/2024;ALTA DEFINIÇÃO;BRASIL DISTRIBUTION, L.L.C.;05.517.603/0001-89;PROGRAMADORA ESTRANGEIRA;ESTADOS UNIDOS
HGTV HD;26039.30024;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;10/06/2019;ALTA DEFINIÇÃO;DISCOVERY NETWORKS, SL;;PROGRAMADORA ESTRANGEIRA;ESPANHA
HGTV SD;26039.30023;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;10/06/2019;PADRÃO;DISCOVERY NETWORKS, SL;;PROGRAMADORA ESTRANGEIRA;ESPANHA
INVESTIGAÇÃO DISCOVERY;26039.30009;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;09/07/2012;PADRÃO;DISCOVERY NETWORKS, SL;;PROGRAMADORA ESTRANGEIRA;ESPANHA
INVESTIGAÇÃO DISCOVERY HD;26039.30013;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;04/12/2012;ALTA DEFINIÇÃO;DISCOVERY NETWORKS, SL;;PROGRAMADORA ESTRANGEIRA;ESPANHA
JOVEM PAN NEWS;49723.30001;Canal de programação comum;Canal de conteúdo jornalístico;CANAL OFERTADO EM PACOTE;27/10/2021;ALTA DEFINIÇÃO;DIGITAL SEVEN PRODUTORA E DISTRIBUIDORA EIRELI;56.137.979/0001-07;Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011;BRASIL
LIFETIME;27060.30001;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;01/07/2014;PADRÃO;LIFETIME BRAZIL DISTRIBUTION, LLC.;;PROGRAMADORA ESTRANGEIRA;ESTADOS UNIDOS
LIFETIME HD;27060.30002;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;06/11/2016;ALTA DEFINIÇÃO;LIFETIME BRAZIL DISTRIBUTION, LLC.;;PROGRAMADORA ESTRANGEIRA;ESTADOS UNIDOS
LIVETV;57285.30001;Canal de programação comum;Canal de televenda ou infomercial;CANAL OFERTADO EM PACOTE;03/04/2023;ALTA DEFINIÇÃO;LIVE TV SP LTDA;50.187.341/0001-96;Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011;BRASIL
LIVETV;52686.30001;Canal de programação comum;Canal de televenda ou infomercial;CANAL OFERTADO EM PACOTE;15/03/2023;PADRÃO;ZIGON COMUNICACOES LTDA;00.589.639/0001-54;Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011;BRASIL
LMC+;52560.30001;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;15/09/2023;ALTA DEFINIÇÃO;NIRVANA TECNOLOGIA DIGITAL LTDA;24.815.120/0001-05;Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011;BRASIL
MARKKET;4744.30011;Canal de programação comum;Canal de conteúdo jornalístico;CANAL OFERTADO EM PACOTE;01/03/2022;PADRÃO;PBI - PROGRAMADORA BRASILEIRA INDEPENDENTE S.A;07.254.174/0001-20;Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011;BRASIL
MARKKET HD;4744.30012;Canal de programação comum;Canal de conteúdo jornalístico;CANAL OFERTADO EM PACOTE;01/03/2022;ALTA DEFINIÇÃO;PBI - PROGRAMADORA BRASILEIRA INDEPENDENTE S.A;07.254.174/0001-20;Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011;BRASIL
MAS CHIC;6211.30001;Canal não adaptado ao mercado brasileiro;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;01/08/2005;PADRÃO;AMC NETWORKS LATIN AMERICA LLC;06.147.448/0001-19;PROGRAMADORA ESTRANGEIRA;ESTADOS UNIDOS
MASPER TV;61638.30001;Canal de programação comum;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;08/05/2024;ALTA DEFINIÇÃO;STUDIOS MASPER LTDA;50.823.489/0001-70;Programadora brasileira independente;BRASIL
MASTER;20925.30001;Canal de programação comum;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;04/07/2001;PADRÃO;PREDICIT COMUNICAÇÕES LTDA-ME;03.187.306/0001-97;Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011;BRASIL
MEGAPIX;4727.30148;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;01/03/2025;PADRÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;Programadora brasileira independente;BRASIL
MEGAPIX HD;4727.30149;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;01/03/2025;ALTA DEFINIÇÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;Programadora brasileira independente;BRASIL
MODO VIAGEM;4727.30017;Canal brasileiro de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;01/01/2020;PADRÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;Programadora brasileira independente;BRASIL
MODO VIAGEM (HD);4727.30012;Canal brasileiro de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;01/01/2020;ALTA DEFINIÇÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;Programadora brasileira independente;BRASIL
MTV;6209.30009;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;01/10/2013;PADRÃO;MTV NETWORKS LATIN AMERICA INC.;;PROGRAMADORA ESTRANGEIRA;ESTADOS UNIDOS
MTV HD;6209.30011;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;01/10/2013;ALTA DEFINIÇÃO;MTV NETWORKS LATIN AMERICA INC.;;PROGRAMADORA ESTRANGEIRA;ESTADOS UNIDOS
MTV LIVE HD;6209.30016;Canal não adaptado ao mercado brasileiro;Canal de conteúdo videomusical;CANAL OFERTADO EM PACOTE;15/07/2018;ALTA DEFINIÇÃO;MTV NETWORKS LATIN AMERICA INC.;;PROGRAMADORA ESTRANGEIRA;ESTADOS UNIDOS
MULTISHOW;4727.30119;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;01/01/2020;PADRÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;Programadora brasileira independente;BRASIL
MULTISHOW HD;4727.30021;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;01/01/2020;ALTA DEFINIÇÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;Programadora brasileira independente;BRASIL
MUSIC BOX BRAZIL;4744.30003;Canal brasileiro de espaço qualificado;Canal de conteúdo videomusical;CANAL OFERTADO EM PACOTE;20/08/2012;PADRÃO;PBI - PROGRAMADORA BRASILEIRA INDEPENDENTE S.A;07.254.174/0001-20;Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011;BRASIL
MUSIC BOX BRAZIL HD;4744.30004;Canal brasileiro de espaço qualificado;Canal de conteúdo videomusical;CANAL OFERTADO EM PACOTE;15/09/2012;ALTA DEFINIÇÃO;PBI - PROGRAMADORA BRASILEIRA INDEPENDENTE S.A;07.254.174/0001-20;Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011;BRASIL
NEW BRASIL;42455.30003;Canal de programação comum;Canal de conteúdo jornalístico;CANAL OFERTADO EM PACOTE;22/02/2024;ALTA DEFINIÇÃO;ASTARTE PRODUTORA LTDA.;26.674.863/0001-38;Programadora brasileira independente;BRASIL
NICK JR;6209.30003;Canal de espaço qualificado;Canal de conteúdo infantil e adolescente;CANAL OFERTADO EM PACOTE;01/04/2008;PADRÃO;MTV NETWORKS LATIN AMERICA INC.;;PROGRAMADORA ESTRANGEIRA;ESTADOS UNIDOS
NICK JR HD;6209.30015;Canal de espaço qualificado;Canal de conteúdo infantil e adolescente;CANAL OFERTADO EM PACOTE;01/06/2017;ALTA DEFINIÇÃO;MTV NETWORKS LATIN AMERICA INC.;;PROGRAMADORA ESTRANGEIRA;ESTADOS UNIDOS
NICKELODEON;6209.30001;Canal de espaço qualificado;Canal de conteúdo infantil e adolescente;CANAL OFERTADO EM PACOTE;01/12/1996;PADRÃO;MTV NETWORKS LATIN AMERICA INC.;;PROGRAMADORA ESTRANGEIRA;ESTADOS UNIDOS
NICKELODEON HD;6209.30014;Canal de espaço qualificado;Canal de conteúdo infantil e adolescente;CANAL OFERTADO EM PACOTE;17/07/2015;ALTA DEFINIÇÃO;MTV NETWORKS LATIN AMERICA INC.;;PROGRAMADORA ESTRANGEIRA;ESTADOS UNIDOS
NORDESTE FC 1 - HD;44181.30002;Canal de programação comum;Canal de conteúdo esportivo;CANAL À LA CARTE;26/01/2021;ALTA DEFINIÇÃO;LIVEMODE SERVICOS DIGITAIS S.A.;29.037.988/0001-45;Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011;BRASIL
NORDESTE FC 1 - SD;44181.30001;Canal de programação comum;Canal de conteúdo esportivo;CANAL À LA CARTE;26/01/2021;PADRÃO;LIVEMODE SERVICOS DIGITAIS S.A.;29.037.988/0001-45;Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011;BRASIL
NORDESTE FC 2 - HD;44181.30004;Canal de programação comum;Canal de conteúdo esportivo;CANAL À LA CARTE;26/01/2021;ALTA DEFINIÇÃO;LIVEMODE SERVICOS DIGITAIS S.A.;29.037.988/0001-45;Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011;BRASIL
NORDESTE FC 2 - SD;44181.30003;Canal de programação comum;Canal de conteúdo esportivo;CANAL À LA CARTE;26/01/2021;PADRÃO;LIVEMODE SERVICOS DIGITAIS S.A.;29.037.988/0001-45;Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011;BRASIL
NORDESTE FC 3 - HD;44181.30006;Canal de programação comum;Canal de conteúdo esportivo;CANAL À LA CARTE;26/02/2021;ALTA DEFINIÇÃO;LIVEMODE SERVICOS DIGITAIS S.A.;29.037.988/0001-45;Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011;BRASIL
NORDESTE FC 3 - SD;44181.30005;Canal de programação comum;Canal de conteúdo esportivo;CANAL À LA CARTE;26/02/2021;PADRÃO;LIVEMODE SERVICOS DIGITAIS S.A.;29.037.988/0001-45;Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011;BRASIL
NORDESTE FC 4 - HD;44181.30008;Canal de programação comum;Canal de conteúdo esportivo;CANAL À LA CARTE;10/04/2021;ALTA DEFINIÇÃO;LIVEMODE SERVICOS DIGITAIS S.A.;29.037.988/0001-45;Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011;BRASIL
NORDESTE FC 4 - SD;44181.30007;Canal de programação comum;Canal de conteúdo esportivo;CANAL À LA CARTE;10/04/2021;PADRÃO;LIVEMODE SERVICOS DIGITAIS S.A.;29.037.988/0001-45;Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011;BRASIL
NORDESTE FC 5 - HD;44181.30010;Canal de programação comum;Canal de conteúdo esportivo;CANAL À LA CARTE;10/04/2021;ALTA DEFINIÇÃO;LIVEMODE SERVICOS DIGITAIS S.A.;29.037.988/0001-45;Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011;BRASIL
NORDESTE FC 5 - SD;44181.30009;Canal de programação comum;Canal de conteúdo esportivo;CANAL À LA CARTE;10/04/2021;PADRÃO;LIVEMODE SERVICOS DIGITAIS S.A.;29.037.988/0001-45;Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011;BRASIL
NORDESTE FC 6 - HD;44181.30012;Canal de programação comum;Canal de conteúdo esportivo;CANAL À LA CARTE;10/04/2021;ALTA DEFINIÇÃO;LIVEMODE SERVICOS DIGITAIS S.A.;29.037.988/0001-45;Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011;BRASIL
NORDESTE FC 6 - SD;44181.30011;Canal de programação comum;Canal de conteúdo esportivo;CANAL À LA CARTE;10/04/2021;PADRÃO;LIVEMODE SERVICOS DIGITAIS S.A.;29.037.988/0001-45;Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011;BRASIL
NORDESTE FC 7 - HD;44181.30014;Canal de programação comum;Canal de conteúdo esportivo;CANAL À LA CARTE;10/04/2021;ALTA DEFINIÇÃO;LIVEMODE SERVICOS DIGITAIS S.A.;29.037.988/0001-45;Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011;BRASIL
NORDESTE FC 7 - SD;44181.30013;Canal de programação comum;Canal de conteúdo esportivo;CANAL À LA CARTE;10/04/2021;PADRÃO;LIVEMODE SERVICOS DIGITAIS S.A.;29.037.988/0001-45;Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011;BRASIL
NOSSA TV HD;42149.30002;Canal de programação comum;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;07/05/2019;ALTA DEFINIÇÃO;COMUNICACAO MOSSOROENSE LTDA;08.626.106/0001-07;Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011;BRASIL
NOSSA TV SD;42149.30001;Canal de programação comum;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;07/05/2019;PADRÃO;COMUNICACAO MOSSOROENSE LTDA;08.626.106/0001-07;Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011;BRASIL
NOVA TV;31188.30001;Canal de programação comum;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;31/08/2016;ALTA DEFINIÇÃO;NOVIDADE TV LTDA ME;13.321.125/0001-65;Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011;BRASIL
NSC TV (GLOBO);44418.30025;;;;;PADRÃO;TECMIDIAWEB LTDA;09.049.228/0001-40;Programadora brasileira;BRASIL
NSPORTS;39279.30001;Canal de programação comum;Canal de conteúdo esportivo;CANAL OFERTADO EM PACOTE;07/03/2024;PADRÃO;NSPORTS CONTEÚDO ESPORTIVO S.A.;29.764.291/0001-76;Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011;BRASIL
NSPORTS HD;39279.30002;Canal de programação comum;Canal de conteúdo esportivo;CANAL OFERTADO EM PACOTE;07/03/2024;ALTA DEFINIÇÃO;NSPORTS CONTEÚDO ESPORTIVO S.A.;29.764.291/0001-76;Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011;BRASIL
